index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,2,1397,96.3448,1.90414,37,7.5,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,1.90413793103448,0.399857783908872,0.209994127731932,0.01,GOO-4-DRS-S20
1,NR_024841.1,1,1460,10,1446,99.0411,9.48904,33.6,7.9,888807,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,9.48904109589041,1.45407763903874,0.153237574202148,0.04,GOO-4-DRS-S20
2,NR_024842.1,1,1513,4,1483,98.0172,3.84071,32.5,1,760570,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis,3.84071381361533,0.658989540888819,0.171579964784854,0.01,GOO-4-DRS-S20
3,NR_024896.1,1,1504,11,1460,97.0745,10.4953,32.5,1.36,85401,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia glucosida,10.4953457446809,1.91675864054475,0.182629394702522,0.04,GOO-4-DRS-S20
4,NR_024898.1,1,1504,81,1502,99.867,77.508,33.4,8.95,85403,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,77.5079787234043,13.2022474410694,0.17033404377868,0.3,GOO-4-DRS-S20
5,NR_024899.1,1,1504,1,1450,96.4096,0.964096,34,1,85402,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia granulomatis,0.964095744680851,0.186113326947791,0.193044443951364,0,GOO-4-DRS-S20
6,NR_025423.1,1,1468,4,1461,99.5232,3.62057,29.8,2.75,249188,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus pittmaniae,3.62057220708447,0.600873437957707,0.165960904406757,0.01,GOO-4-DRS-S20
7,NR_025569.1,1,1494,13,1464,97.992,12.2557,33.3,4.77,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,12.2556894243641,1.93295643751885,0.157719110740205,0.05,GOO-4-DRS-S20
8,NR_025862.1,1,1406,2,1386,98.5775,1.96017,36.9,60,46124,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,1.9601706970128,0.258340665918887,0.131794984137139,0.01,GOO-4-DRS-S20
9,NR_025863.1,1,1411,18,1389,98.4408,17.3565,32.3,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,17.3564847625797,2.55571785094382,0.147248586675448,0.07,GOO-4-DRS-S20
10,NR_025903.1,1,1537,9,1511,98.3084,8.48406,34,6.22,1379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella haemolysans,8.48405985686402,1.67469280969123,0.19739285647971,0.03,GOO-4-DRS-S20
11,NR_025904.1,1,1536,10,1480,96.3542,9.49219,34.1,5.5,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,9.4921875,1.9760629844635,0.208177828815907,0.04,GOO-4-DRS-S20
12,NR_026030.1,1,1466,1,1440,98.2265,0.982265,30.7,1,51048,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus porcinus,0.982264665757162,0.132032887902372,0.134416815045054,0,GOO-4-DRS-S20
13,NR_026032.1,1,1405,17,1402,99.7865,16.4021,34.1,4.59,749,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Pasteurella] aerogenes,16.4021352313167,2.12665112564085,0.129656968172072,0.06,GOO-4-DRS-S20
14,NR_026331.1,1,1488,11913,1488,100,11553,35.6,12,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,11553.002688172,1467.32752326034,0.127008325269636,43.97,GOO-4-DRS-S20
15,NR_026332.1,1,1487,20,1467,98.655,19.0888,32.7,3.4,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,19.08876933423,2.61457279113351,0.136969164714305,0.07,GOO-4-DRS-S20
16,NR_027549.1,1,1473,656,1473,100,619.537,34.5,6.68,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,619.536999321113,92.0767056527885,0.148621802658575,2.42,GOO-4-DRS-S20
17,NR_028664.1,1,1520,5,1488,97.8947,4.46316,32.7,0.6,28037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,4.46315789473684,1.00162371209724,0.224420407191599,0.02,GOO-4-DRS-S20
18,NR_028682.1,1,1538,4,1478,96.0988,3.77893,36.9,48,137732,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,3.77893368010403,0.826857818771057,0.218807179158618,0.01,GOO-4-DRS-S20
19,NR_028736.1,1,1544,18,1494,96.7617,17.0447,34.6,60,1338,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,17.044689119171,3.54143297801452,0.207773398109755,0.07,GOO-4-DRS-S20
20,NR_028769.1,1,1461,2,1433,98.0835,1.93429,32.6,51,109328,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia trevisanii,1.93429158110883,0.315894025695596,0.163312516468954,0.01,GOO-4-DRS-S20
21,NR_028797.1,1,1524,2,1463,95.9974,1.89173,33.5,41.5,135082,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas infelix,1.89173228346457,0.42037395943682,0.222216411440067,0.01,GOO-4-DRS-S20
22,NR_028833.1,1,1512,1,1391,91.9974,0.919974,37.3,1,176090,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sinensis,0.919973544973545,0.271423922476972,0.295034486545782,0,GOO-4-DRS-S20
23,NR_029052.1,1,1510,1,1318,87.2848,0.872848,32.8,1,45634,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cristatus,0.872847682119205,0.333253888776933,0.381800737521373,0,GOO-4-DRS-S20
24,NR_029171.1,1,1484,2,1452,97.8437,1.91442,33.9,60,714,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,1.9144204851752,0.348517137729941,0.182048374653725,0.01,GOO-4-DRS-S20
27,NR_037086.1,1,1479,1,1421,96.0784,0.960784,29,0,1559,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tertium,0.96078431372549,0.194173398429596,0.202098843263457,0,GOO-4-DRS-S20
28,NR_040823.1,1,1451,225,1451,100,221.307,32.9,9.63,1246,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc lactis,221.306685044797,7.933539678547,0.035848621910997,0.83,GOO-4-DRS-S20
29,NR_041810.1,1,1364,4,1360,99.7067,3.80645,33.8,1.25,115545,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida,3.80645161290323,0.480662927064774,0.126275853720407,0.01,GOO-4-DRS-S20
30,NR_041879.1,1,1375,1,1331,96.8,0.968,30.1,29,39778,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella dispar,0.968,0.176064034930261,0.181884333605642,0,GOO-4-DRS-S20
31,NR_042620.1,1,1415,1,1379,97.4558,0.974558,27.4,1,434464,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc holzapfelii,0.974558303886926,0.157518097880149,0.161630245468028,0,GOO-4-DRS-S20
32,NR_042864.1,1,1362,46,1362,100,45.2739,34.1,1.96,717,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus capsulatus,45.2738619676946,2.00931875421122,0.0443814304077921,0.17,GOO-4-DRS-S20
33,NR_042875.1,1,1362,1,1337,98.1645,0.981645,30.1,22,888728,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus aegyptius,0.981644640234949,0.13428208983939,0.136792974092183,0,GOO-4-DRS-S20
34,NR_042876.1,1,1362,18,1362,100,17.6953,33.3,8.17,985008,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,17.6953010279001,0.607659853140478,0.0343401817342571,0.07,GOO-4-DRS-S20
35,NR_042877.1,1,1360,218,1360,100,213.376,33.9,7.03,733,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Canicola,Canicola haemoglobinophilus,213.375735294118,12.8866399340299,0.0603941208041624,0.8,GOO-4-DRS-S20
36,NR_042879.1,1,1362,20,1362,100,19.6402,33.7,13.5,738,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella parasuis,19.640234948605,0.917506734311293,0.0467156699862423,0.07,GOO-4-DRS-S20
37,NR_042883.1,1,1364,2,1360,99.7067,1.95748,32.4,5,667128,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella dagmatis,1.9574780058651,0.21590078891264,0.110295384298442,0.01,GOO-4-DRS-S20
38,NR_042890.1,1,1362,3,1359,99.7797,2.93319,32,1,47735,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia,Bibersteinia trehalosi,2.93318649045521,0.293099640796924,0.0999253343593019,0.01,GOO-4-DRS-S20
39,NR_042927.1,1,1471,157,1471,100,154.515,34.4,1.5,655813,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,154.515295717199,7.86386750526629,0.0508937802485204,0.58,GOO-4-DRS-S20
40,NR_043332.1,1,1497,2,1469,98.1296,1.9185,29.6,5.5,479436,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,1.9185036740147,0.335168415074818,0.174703035294917,0.01,GOO-4-DRS-S20
41,NR_044091.1,1,1344,5,1344,100,4.90476,32.8,16.2,423477,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella rogosae,4.90476190476191,0.324948617061374,0.0662516597892122,0.02,GOO-4-DRS-S20
42,NR_074902.1,1,1542,6711,1508,97.7951,6285.97,35.7,0.898,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,6285.96692607004,1428.55923283173,0.22726165276292,24.77,GOO-4-DRS-S20
43,NR_074980.1,1,1551,45,1486,95.8092,42.2708,32.6,0,479436,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,42.2707930367505,9.04748287663177,0.214036270120739,0.17,GOO-4-DRS-S20
44,NR_104826.1,1,1530,136,1471,96.1438,127.107,34.2,1.65,624,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,127.107189542484,27.361786819747,0.215265453655568,0.5,GOO-4-DRS-S20
